,source,target,weight
1478,DIRECTOR OF BUSINESS DEVELOPMENT - CONSULTANT; reported to CEO,CAROLINA VENTURE FELLOW (while completing my MBA),1
1479,CAROLINA VENTURE FELLOW (while completing my MBA),DIRECTOR OF OPERATIONS; reported to CEO,1
1480,DIRECTOR OF OPERATIONS; reported to CEO,SALES DIRECTOR,1
1481,SALES DIRECTOR,CHANNEL DEVELOPMENT MANAGER,1
1482,CHANNEL DEVELOPMENT MANAGER,ACCOUNT MANAGER,1
1483,Principal Group Program Manager  Lync Partner Engineering,Senior Director Cellular Personal Productivity Platform,1
1484,Senior Director Cellular Personal Productivity Platform,Senior Director 4G Handset Development,1
1485,Senior Director 4G Handset Development,Product Unit Manager  Windows Networking,1
1486,Product Unit Manager  Windows Networking,"Product Unit Manager  ""Stinger Smartphone"" (aka Smartphone 2002)",1
1487,"Product Unit Manager  ""Stinger Smartphone"" (aka Smartphone 2002)",Senior Director EdgeServer Products,1
1488,Senior Director EdgeServer Products,Senior Product Manager,1
1489,Senior Product Manager,Senior Engineer,1
1490,Director  Wells Fargo Client Team,Client Executive and Regional Manager  Sales - Wells Fargo,1
1491,Client Executive and Regional Manager  Sales - Wells Fargo,Global Account Manager,1
1492,Director  Customer Success,Director  Support Account Management - Global Customer Management,1
1493,Director  Support Account Management - Global Customer Management,Service Delivery Manager - Advanced Customer Services,1
1494,Service Delivery Manager - Advanced Customer Services,Global Alliance Manager - System Platforms Division,1
1495,Global Alliance Manager - System Platforms Division,Group Product Manager / Senior Product Manager - System Platforms Division,1
1496,Group Product Manager / Senior Product Manager - System Platforms Division,Product Manager - Financial Services Applications,1
1497,Product Manager - Financial Services Applications,Project Manager - Wholesale Banking Division,1
1498,Lead Azure/AWS Architect,Lead Extranet Architect,1
1499,Senior Director  Platform Product Management,Head of Product and Engineering,1
1500,Head of Product and Engineering,Director  Product Management,1
1501,Director  Product Management,Product Manager,5
1502,Product Manager,Technical Team Leader,1
1503,Technical Team Leader,Developer,1
1504,Senior Program Manager,Senior Project Manager,1
1505,Senior Project Manager,Product & Program Management Consultant,1
1506,Product & Program Management Consultant,Senior Manager  Market Strategy & Planning,1
1507,Senior Manager  Market Strategy & Planning,Manager  Mobile Retail Marketing & Commerce,1
1508,Manager  Mobile Retail Marketing & Commerce,Senior Product Manager  Marketplace,1
1509,Senior Product Manager  Marketplace,Senior Product Manager,1
1510,Senior Product Manager,Project & Product Management Consultant,1
1511,Project & Product Management Consultant,Product Manager  E-Commerce Technologies & Business Solutions,1
1512,Vice President Worldwide Sales Engineering,Senior Director of Systems Engineering,1
1513,Senior Director of Systems Engineering,Director of Strategic Programs and Communications - Global Systems Engineering,1
1514,Director of Strategic Programs and Communications - Global Systems Engineering,Director of Strategic Programs - Americas Systems Engineering,1
1515,Director of Strategic Programs - Americas Systems Engineering,Senior Director of Systems Engineering,1
1516,Senior Director of Systems Engineering,Director of Business Development - EMEA (Consultant),1
1517,Director of Business Development - EMEA (Consultant),Director of Business Development and Asia Pacific Operations,1
1518,Director of Business Development and Asia Pacific Operations,Director - Worldwide Systems Engineering,1
1519,Director - Worldwide Systems Engineering,Principal,1
1520,Principal,Graduate Student,1
1521,Graduate Student,Vice President - Business Development,1
1522,Vice President - Business Development,Director of Systems Engineering - EMEA,1
1523,Technical Customer Experience Agent,Consultant,1
1524,Consultant,Senior Systems Engineer - Release Management and Collaboration Services,1
1525,Senior Systems Engineer - Release Management and Collaboration Services,Senior Consultant/Systems Architect/Developer/Project Manager,1
1526,Senior Consultant/Systems Architect/Developer/Project Manager,Systems Architect / Consultant,1
1527,Systems Architect / Consultant,Enterprise Architect,1
1528,Enterprise Architect,Product Security Manager / Security Response Team Coordinator,1
1529,Principal Architect,Cisco UC Solutions Architect,1
1530,Cisco UC Solutions Architect,Technical Solution Architect / Technical Enablement Coach,1
1531,Technical Solution Architect / Technical Enablement Coach,Systems Engineer,1
1532,Systems Engineer,Technical Leader,1
1533,Technical Leader,Distinguished Member Technical Staff,1
1534,Distinguished Member Technical Staff,Software Systems Engineer,1
1535,Software Systems Engineer,Maintenance Engineer,1
1536,Maintenance Engineer,Field Engineer,1
1537,Member,Application Catalyst,1
1538,Application Catalyst,Director,1
1539,Director,Research Scientist,1
1540,Board Member,Chief Operating Officer,1
1541,Chief Operating Officer,Investor,1
1542,Investor,Cloud Product Management & Marketing Executive Consultant,1
1543,Cloud Product Management & Marketing Executive Consultant,Vice President Of Products,1
1544,Vice President Of Products,Product Line Director  Web & Sales Effectiveness Solutions,1
1545,Product Line Director  Web & Sales Effectiveness Solutions,Senior Director of Global Product Management  Display Advertising Marketplace,1
1546,Senior Director of Global Product Management  Display Advertising Marketplace,Director of Product Management,1
1547,Director of Product Management,John Kerry Presidential Campaign: Tech & Science Policy Team; Colorado Tech Business Outreach Lead,1
1548,John Kerry Presidential Campaign: Tech & Science Policy Team; Colorado Tech Business Outreach Lead,Group Product Manager  E-Commerce Products,1
1549,Group Product Manager  E-Commerce Products,E-Business Solutions Architect Director  Sales; Group Product Line Manager  E-Commerce Applications,1
1550,E-Business Solutions Architect Director  Sales; Group Product Line Manager  E-Commerce Applications,Technical Product Marketing Manager - Oracle Financials Group,1
1551,Principal Software Engineer,Consultant,1
1552,Consultant,Embedded Systems Architect/Senior Developer,1
1553,Embedded Systems Architect/Senior Developer,Principal Software Engineer/ Consultant,1
1554,Principal Software Engineer/ Consultant,Project Leader,1
1555,Project Leader,Principal Software Engineer,1
1556,Principal Software Engineer,Principal Software engineer,1
1557,Principal Software engineer,Principal Software Engineer,1
1558,Data Center and Cloud Architect,Distinguished TME - Cloud Architect,1
1559,Distinguished TME - Cloud Architect,Distinguished TME - DC Architect,1
1560,Distinguished TME - DC Architect,Senior Mgr of Engineering,1
1561,Senior Mgr of Engineering,Senior Mgr of Technical Marketing,1
1562,Senior Mgr of Technical Marketing,Mgr Technical Marketing,1
1563,Senior Software Engineer - Data Infrastructure,Senior Software Engineer,1
1564,Director  Open Innovation and Venturing Strategy,Director  Innovation Management  Digital Experiences,1
1565,Director  Innovation Management  Digital Experiences,EVP  Founder,1
1566,EVP  Founder,EVice President Product Management  CTO,1
1567,EVice President Product Management  CTO,Founder  CTO,1
1568,MDM Strategic Accounts,Sales Executive,1
1569,Sales Executive,Senior Director CDM Solutions,1
1570,Senior Director CDM Solutions,Senior Sales Executive,1
1571,Senior Sales Executive,District Sales Manager,1
1572,District Sales Manager,Life Cycle Services Executive,1
1573,Life Cycle Services Executive,Senior Sales Executive,1
1574,Staff Software Engineer - Tech Lead and Manager,Senior Principal Engineer,1
1575,Senior Principal Engineer,Principal Software Engineer,1
1576,Senior Software Engineer,Senior Systems Architect,1
1577,Senior Systems Architect,Software Engineer,1
1578,Director  Sales - Americas,Senior Manager  Sales - Americas,1
1579,Senior Manager  Sales - Americas,Senior Account Manager/Service Provider Business Manager,1
1580,Senior Account Manager/Service Provider Business Manager,Senior Account Exec.,1
1581,Senior Account Exec.,District Manager,1
1582,District Manager,Senior Account Executive,1
1583,Senior Account Executive,Senior Account Manager,2
1584,Customer Engagement Principal,Sales Consulting Manager,1
1585,Sales Consulting Manager,Principal Enterprise Architect,1
1586,Principal Enterprise Architect,Principal Sales Consultant,1
1587,Principal Sales Consultant,Systems Engineer,1
1588,Systems Engineer,Sales Engineer,2
1589,Sales Engineer,Consultant,1
1590,Account Manager  Service Provider-TCS Northeast,Senior Solution Strategist  Service Assurance,1
1591,Senior Solution Strategist  Service Assurance,Director of Business Operations  DC Metro Region,1
1592,Director of Business Operations  DC Metro Region,Vice President  Sales Operations,1
1593,Vice President  Sales Operations,Vice President,1
1594,Engineering Manager,Predictive Analytics Stealth Mode startup  Co-Founder and Vice President  Product Engineering,1
1595,Predictive Analytics Stealth Mode startup  Co-Founder and Vice President  Product Engineering,Enterprise Architect and Data Management - Technical Leader,1
1596,Enterprise Architect and Data Management - Technical Leader,Team Lead & Lead Engineer,1
1597,Siri Hadoop Operations Engineer,Hadoop Ecosystem Developer,1
1598,Hadoop Ecosystem Developer,programmer,1
1599,Director of Enterprise (Corporate Services  Architecture and R&D Labs),Senior Director of Engineering,1
1600,Senior Director of Engineering,Senior Director of Engineering (Corporate R&D),1
1601,Senior Director of Engineering (Corporate R&D),Owner,1
1602,Owner,Member  Technical Staff,1
1603,Global Account Director,Senior Sales Engineering Director,1
1604,Senior Sales Engineering Director,Director Network Engineering,1
1605,Director Network Engineering,Network Consulting Engineer,1
1606,Network Consulting Engineer,TECHNICAL LEADER,1
1607,TECHNICAL LEADER,Senior Network Engineer,1
1608,Senior Network Engineer,Network Manager,1
1609,Vice President  Strategic Alliances & Partnerships  HP Cloud,Vice President  Corporate Strategy and Alliances,1
1610,Vice President  Corporate Strategy and Alliances,Vice President  Marketing,1
1611,Vice President  Marketing,Senior Director  Product Management,1
1612,Senior Director  Product Management,Product Manager,1
1613,Product Manager,Product Line Manager,1
1614,Product Line Manager,Strategy Consultant,1
1615,Strategy Consultant,Associate  Investment Banking,1
1616,Associate  Investment Banking,Petroleum Refining Engineer,1
1617,Development Engineer  EIGRP / SAF Team,Test Engineer  IP Routing Deployment and Scalability Team,1
1618,Test Engineer  IP Routing Deployment and Scalability Team,Customer Support Engineer  Cisco TAC  Routing Protocols Team,1
1619,Strategic Business Development - Cloud Channel Sales for Service Providers,Senior Partner Relationship Manager - Public Sector,1
1620,Senior Partner Relationship Manager - Public Sector,Federal Channel Manager,1
1621,Business Development | Data and Storage | SDS  | Hybrid Cloud Solutions,SaaS & Direct to Cloud Data Protection Storage Specialist,1
1622,SaaS & Direct to Cloud Data Protection Storage Specialist,Regional Sales Manager |  Business Development | IT Systems & Software Sales | Equipment Leasing,1
1623,Network Systems Consultant,Communications engineer,1
1624,Principal Network Architect,Director Network Operations,1
1625,Director Network Operations,Senior Network Engineer,1
1626,Senior Network Engineer,Senior Network Architect,1
1627,Senior Network Architect,Senior Network Engineer,2
1628,Network Engineer,IP engineer,1
1629,Co Founder,Vice President  Cloud Business Models & Monetization,1
1630,Vice President  Cloud Business Models & Monetization,Vice President  Software Business Transformation & Monetization,1
